NS 10000
ROOT 2418
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6141
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6414
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4329
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 3418
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6450
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6141
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7525
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 1967
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2416
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6523
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6541
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 1389
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4929
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 1989
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4612
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8672
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7234
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6123
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8636
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7563
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6414
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7652
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6430
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6412
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8072
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 3181
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2470
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6850
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4212
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7563
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6123
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7634
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6850
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6434
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 1367
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7941
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8034
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2016
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 3589
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4612
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2418
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8036
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8763
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 5630
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4212
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8072
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6834
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 1369
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8763
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7523
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8036
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 5012
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4238
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6123
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8745
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4329
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7563
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 5012
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2470
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 1369
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 5349
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8036
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7945
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8634
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2478
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7652
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2478
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6414
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6834
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2016
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 3529
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6123
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6141
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6434
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 5630
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6452
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2016
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6523
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 1385
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8674
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8074
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 4618
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 3127
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7925
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 2070
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7923
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6741
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7852
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8652
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8034
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8052
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 3589
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 7923
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 5323
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8634
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8674
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 6812
UHF -8,+8,-8,+3
LHF -3,+1,-7,+8
PHF -7,+0,-4,+0
ROOT 8383
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8323
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6542
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4988
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5219
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5031
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2726
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4228
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2948
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2089
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6521
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6183
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3110
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2867
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2989
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7531
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8665
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7531
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5358
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1778
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1837
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3259
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8642
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6162
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1858
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4167
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4369
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1934
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2026
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8545
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2726
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6443
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5032
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1875
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2888
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4221
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1934
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7353
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4187
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5478
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3136
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7571
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4181
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3110
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4989
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6323
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3256
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2988
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5378
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2086
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7372
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3258
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2726
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4388
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1637
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4247
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5251
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5132
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6440
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7610
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7632
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7650
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3217
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6143
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4940
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3936
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8662
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4040
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8545
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7312
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8643
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4188
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5039
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5372
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1814
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5039
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2089
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2889
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4320
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1778
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4949
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7253
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4249
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5258
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5219
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6262
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4148
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1976
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2186
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2889
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7310
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4261
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7373
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3258
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8465
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4327
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4148
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2027
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8743
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2749
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8722
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8584
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6522
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5358
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1915
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6540
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6161
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5339
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1056
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6242
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7534
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3838
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7214
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6140
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6461
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2889
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8522
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3138
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7572
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5039
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5071
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4928
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3137
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5339
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1934
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3117
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8483
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7372
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7551
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8522
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7610
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6140
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1637
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4140
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7531
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2049
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1776
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3050
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1075
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4988
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3939
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5372
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7271
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1814
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3039
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6440
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2726
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8662
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1978
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8383
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3976
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1758
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2988
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3859
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 8743
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3850
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7333
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2767
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 3116
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 6320
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5410
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 2167
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 4040
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 5150
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 1756
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
ROOT 7631
UHF -5,+5,-6,+7
LHF -4,+3,-8,+9
PHF -6,+6,-7,+8
